"Story","Title","Result","Date","Stability","Duration (s)"
"CRONOS -> Desacoplamiento","Menu Proveedores/ Opcion Editar proveedores","FAILURE","2020-09-09T10:38:56.935-05:00[America/Bogota]","0.0","50.04"
"CRONOS -> Desacoplamiento","Menu Servicios/ Opcion Solicitar requerimiento","FAILURE","2020-09-09T10:39:46.985-05:00[America/Bogota]","0.0","139.72"
"CRONOS -> Desacoplamiento","Menu Bienes/ Opcion Lista de requerimientos","SUCCESS","2020-09-09T10:42:06.709-05:00[America/Bogota]","0.0","212.68"
"CRONOS -> Desacoplamiento","Menu Bienes/ Opcion Solicitar requerimiento","FAILURE","2020-09-09T10:45:39.389-05:00[America/Bogota]","0.0","79.31"
"CRONOS -> Desacoplamiento","Menu Bienes/ Opcion Confirmar Bienes recurrentes","ERROR","2020-09-09T10:46:58.706-05:00[America/Bogota]","0.0","239.17"
"MERCURIO -> Desacoplamiento","Menu carnetizacion / Opcion Gestion Carnes","SUCCESS","2020-09-11T14:10:52.167-05:00[America/Bogota]","0.0","37.97"
"MERCURIO -> Desacoplamiento","Menu Clientes / Opcion Datos basicos clientes","SUCCESS","2020-09-11T14:11:30.137-05:00[America/Bogota]","0.0","46.82"
