"Story","Title","Result","Date","Stability","Duration (s)"
"MERCURIO -> Desacoplamiento","Menu carnetizacion / Opcion Gestion Carnes","SUCCESS","2020-09-11T15:10:03.137-05:00[America/Bogota]","0.0","20.07"
"MERCURIO -> Desacoplamiento","Menu Clientes / Opcion Datos basicos clientes","SUCCESS","2020-09-11T15:10:23.213-05:00[America/Bogota]","0.0","11.57"
